series_id,threshold_quantile,run_length,threshold,exceedance_rate,n_exceedances,n_return_times,mean_return_time,median_return_time,p90_return_time,max_return_time,normalized_mean,normalized_cv,theta_runs,theta_intervals,theta_intervals_variant,ks_statistic,bootstrap_pvalue,bootstrap_replicates,block_size,quantile_method
logistic_observable,0.95,4,3.1958378584607527,0.05,250,249,20.072289156626507,14.0,40.20000000000002,90,1.0036144578313255,0.7945200248856832,1.0,1.0,bias_corrected,0.22119921692859515,0.055776892430278883,250,40,numpy.quantile default linear interpolation
clustered_stress,0.95,4,0.8818826265050873,0.05,150,149,19.322147651006713,10.0,53.60000000000005,145,0.9661073825503355,1.2861677693062097,0.6733333333333333,0.721292385932316,bias_corrected,0.1680625280378478,0.3386454183266932,250,40,numpy.quantile default linear interpolation
unrate,0.9,3,8.2,0.09655172413793103,42,41,3.3658536585365852,1.0,1.0,98,0.32497897392767033,4.50074674660135,0.047619047619047616,0.04928861788617886,bias_corrected,0.8835726888827423,0.05179282868525897,250,36,numpy.quantile default linear interpolation
baa10ym,0.9,3,3.16,0.09885057471264368,43,42,5.333333333333333,1.0,10.799999999999997,62,0.5272030651340995,2.4167148509353993,0.18604651162790697,0.2126359306192145,bias_corrected,0.691592344714429,0.4103585657370518,250,36,numpy.quantile default linear interpolation
kcfsi,0.9,3,1.0677301406733581,0.10114942528735632,44,43,8.232558139534884,1.0,8.200000000000017,127,0.8327185244587009,3.023022632023241,0.18181818181818182,0.16094201355147028,bias_corrected,0.6540600774634279,0.5737051792828686,250,36,numpy.quantile default linear interpolation
