quantile,threshold,n_exceedances,n_clusters,p_hat,theta_indep,theta_runs,theta_cluster_mean,lambda_indep,lambda_runs,theta_runs_ci_lower,theta_runs_ci_upper,lambda_runs_ci_lower,lambda_runs_ci_upper,n_bootstrap,block_size
0.9,2.5365916610973556,500,444,0.1,0.6561,0.888,0.888,0.1524157902758726,0.11261261261261261,0.880587469576394,0.9271990592166001,0.10357057171932746,0.11845700092615981,250,40
0.93,2.860402891693994,350,318,0.07,0.7480520099999998,0.9085714285714286,0.9085714285714286,0.09357638113959486,0.07704402515723272,0.8910366624525917,0.9396238153381011,0.06928582485285222,0.08282512047518603,250,40
0.95,3.1958378584607527,250,250,0.05,0.8145062499999999,1.0,1.0,0.06138688315774128,0.05,0.9748888888888887,1.0251111111111113,0.044367402882205524,0.05439790613147915,250,40
0.97,3.629454313962744,150,150,0.03,0.8852928099999999,1.0,1.0,0.033887093243194874,0.03,1.0,1.0200738255033557,0.025396870133914666,0.0344,250,40
0.99,4.823942432450424,50,50,0.01,0.96059601,1.0,1.0,0.010410203556852168,0.01,1.0,1.0208333333333335,0.008088421052631583,0.01271,250,40
