series_id,display_name,transformation,descriptive_only,sample_start,sample_end,n_observations,threshold_quantile,run_length,threshold,n_exceedances,n_clusters,theta_runs,theta_tilde,theta_intervals,lambda_runs,theta_runs_ci_lower,theta_runs_ci_upper,lambda_runs_ci_lower,lambda_runs_ci_upper,theta_interval_note,lambda_interval_note,interval_method,n_bootstrap,block_size,block_size_grid,ci_level
unrate,unrate,level,True,1990-02-01,2026-05-01,435,0.9,3,8.2,42,2,0.047619047619047616,0.06457595312984173,0.04928861788617886,2.027586206896552,,,,,"interval not interpretable, k clusters = 2","interval not interpretable, k clusters = 2","basic bootstrap with fixed original threshold; envelope over block sizes {12,24,36,48}",250,36,"12,24,36,48",0.9
baa10ym,baa10ym,level,False,1990-02-01,2026-05-01,435,0.9,3,3.16,43,8,0.18604651162790697,0.2542325193712792,0.2126359306192145,0.5313218390804598,0.0020849717260233436,0.2129294894212275,0.09269230769230785,0.9030012771392083,,,"basic bootstrap with fixed original threshold; envelope over block sizes {12,24,36,48}",250,36,"12,24,36,48",0.9
kcfsi,kcfsi,level,False,1990-02-01,2026-05-01,435,0.9,3,1.0677301406733581,44,8,0.18181818181818182,0.25036568774237733,0.16094201355147028,0.5563218390804597,0.0,0.2668621700879765,0.0,1.043103448275862,,,"basic bootstrap with fixed original threshold; envelope over block sizes {12,24,36,48}",250,36,"12,24,36,48",0.9
unrate_diff12,unrate,12m_diff,False,1991-02-01,2026-05-01,423,0.9,3,1.2999999999999998,42,4,0.09523809523809523,0.13033374548188917,0.1421195378925846,1.0425531914893618,0.0,0.19047619047619047,0.0,1.9338061465721041,,,"basic bootstrap with fixed original threshold; envelope over block sizes {12,24,36,48}",250,36,"12,24,36,48",0.9
