series_id,sample_start,sample_end,n_observations,threshold_quantile,run_length,threshold,n_exceedances,n_clusters,p_hat,theta_indep,theta_runs,theta_tilde,lambda_runs,lambda_runs_ci_lower,lambda_runs_ci_upper,n_bootstrap,block_size,ci_level
unrate,1990-02-01,2026-05-01,435,0.9,1,8.2,42,2,0.09655172413793103,0.903448275862069,0.047619047619047616,0.05270810614322064,2.027586206896552,,,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,2,8.2,42,2,0.09655172413793103,0.8162187871581451,0.047619047619047616,0.05834103351730529,2.027586206896552,,,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,4,8.2,42,2,0.09655172413793103,0.6662131085099134,0.047619047619047616,0.07147720002921412,2.027586206896552,,,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,6,8.2,42,2,0.09655172413793103,0.5437756554168193,0.047619047619047616,0.08757112817517784,2.027586206896552,,,250,36,0.9
unrate,1990-02-01,2026-05-01,435,0.9,8,8.2,42,2,0.09655172413793103,0.44383990595044165,0.047619047619047616,0.10728879260434206,2.027586206896552,,,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,1,3.16,43,10,0.09885057471264368,0.9011494252873563,0.23255813953488372,0.25806834361651637,0.4250574712643678,0.09384586946292939,0.6908538587848932,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,2,3.16,43,9,0.09885057471264368,0.8120702866957326,0.20930232558139536,0.2577391748108831,0.4722860791826309,0.13116090726004526,0.768882503192848,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,4,3.16,43,7,0.09885057471264368,0.6594581505340893,0.16279069767441862,0.2468552364430948,0.6072249589490968,0.15573100462755618,1.0212162014230979,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,6,3.16,43,7,0.09885057471264368,0.5355263693680554,0.16279069767441862,0.30398259915103487,0.6072249589490968,0.13763957307060726,1.0212162014230979,250,36,0.9
baa10ym,1990-02-01,2026-05-01,435,0.9,8,3.16,43,7,0.09885057471264368,0.43488505230584157,0.16279069767441862,0.3743304048075969,0.6072249589490968,0.10528988253126181,1.0212162014230979,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,1,1.0677301406733581,44,12,0.10114942528735632,0.8988505747126436,0.2727272727272727,0.3034178098116717,0.3708812260536399,0.0,0.6750670498084292,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,2,1.0677301406733581,44,8,0.10114942528735632,0.8079323556612498,0.18181818181818182,0.22504134231556217,0.5563218390804597,0.0,1.0132471264367815,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,4,1.0677301406733581,44,7,0.10114942528735632,0.6527546913243362,0.1590909090909091,0.243722352677602,0.6357963875205255,0.0,1.172196223316913,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,6,1.0677301406733581,44,6,0.10114942528735632,0.5273816354306028,0.13636363636363635,0.25856728259469364,0.7417624521072798,0.0,1.3841283524904215,250,36,0.9
kcfsi,1990-02-01,2026-05-01,435,0.9,8,1.0677301406733581,44,6,0.10114942528735632,0.42608868704592934,0.13636363636363635,0.3200358059469843,0.7417624521072798,0.0,1.3841283524904215,250,36,0.9
