run_length,threshold_quantile,threshold,n_exceedances,n_clusters,p_hat,theta_indep,theta_runs,theta_tilde,lambda_indep,lambda_runs,lambda_runs_ci_lower,lambda_runs_ci_upper,n_bootstrap,block_size
1,0.9,2.5365916610973556,500,500,0.1,0.9,1.0,1.1111111111111112,0.11111111111111112,0.1,0.09486720930232562,0.10430976890756304,250,40
2,0.9,2.5365916610973556,500,500,0.1,0.81,1.0,1.2345679012345678,0.12345679012345678,0.1,0.09438323454890961,0.10378937075420241,250,40
4,0.9,2.5365916610973556,500,444,0.1,0.6561,0.888,1.3534522176497485,0.1524157902758726,0.11261261261261261,0.10380383216471754,0.11747049081413977,250,40
6,0.9,2.5365916610973556,500,335,0.1,0.531441,0.67,1.2607232035164768,0.18816764231589206,0.14925373134328357,0.13368848081142728,0.15931632288790382,250,40
8,0.9,2.5365916610973556,500,243,0.1,0.4304672100000001,0.486,1.1290058538953522,0.23230573125418771,0.205761316872428,0.17753457660877253,0.2249498048646794,250,40
